Species,Block,Street,Trap,Latitude,Longitude,AddressAccuracy,WnvPresent,Tmax_x,Tmin_x,Tavg_x,DewPoint_x,WetBulb_x,Heat_x,Cool_x,PrecipTotal_x,StnPressure_x,SeaLevel_x,ResultSpeed_x,ResultDir_x,AvgSpeed_x,Tmax_y,Tmin_y,Tavg_y,DewPoint_y,WetBulb_y,Heat_y,Cool_y,PrecipTotal_y,StnPressure_y,SeaLevel_y,ResultSpeed_y,ResultDir_y,AvgSpeed_y,day,month,year
2,41,36,1,41.95469,-87.800991,9,0,88,60,74,58,65,0,9,0.0,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0.0,29.44,30.09,5.8,16,7.4,29,5,2007
3,41,36,1,41.95469,-87.800991,9,0,88,60,74,58,65,0,9,0.0,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0.0,29.44,30.09,5.8,16,7.4,29,5,2007
3,62,30,8,41.994991,-87.769279,9,0,88,60,74,58,65,0,9,0.0,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0.0,29.44,30.09,5.8,16,7.4,29,5,2007
2,79,120,15,41.974089,-87.824812,8,0,88,60,74,58,65,0,9,0.0,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0.0,29.44,30.09,5.8,16,7.4,29,5,2007
3,79,120,15,41.974089,-87.824812,8,0,88,60,74,58,65,0,9,0.0,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0.0,29.44,30.09,5.8,16,7.4,29,5,2007
3,15,138,34,41.9216,-87.666455,8,0,88,60,74,58,65,0,9,0.0,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0.0,29.44,30.09,5.8,16,7.4,29,5,2007
3,25,123,35,41.891118,-87.654491,8,0,88,60,74,58,65,0,9,0.0,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0.0,29.44,30.09,5.8,16,7.4,29,5,2007
2,11,134,37,41.867108,-87.654224,8,0,88,60,74,58,65,0,9,0.0,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0.0,29.44,30.09,5.8,16,7.4,29,5,2007
3,11,134,37,41.867108,-87.654224,8,0,88,60,74,58,65,0,9,0.0,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0.0,29.44,30.09,5.8,16,7.4,29,5,2007
3,11,117,38,41.896282,-87.655232,8,0,88,60,74,58,65,0,9,0.0,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0.0,29.44,30.09,5.8,16,7.4,29,5,2007
2,21,45,39,41.919343,-87.694259,8,0,88,60,74,58,65,0,9,0.0,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0.0,29.44,30.09,5.8,16,7.4,29,5,2007
2,22,18,41,41.921965,-87.632085,8,0,88,60,74,58,65,0,9,0.0,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0.0,29.44,30.09,5.8,16,7.4,29,5,2007
3,22,18,41,41.921965,-87.632085,8,0,88,60,74,58,65,0,9,0.0,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0.0,29.44,30.09,5.8,16,7.4,29,5,2007
2,22,95,68,41.688324,-87.676709,8,0,88,60,74,58,65,0,9,0.0,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0.0,29.44,30.09,5.8,16,7.4,29,5,2007
3,22,95,68,41.688324,-87.676709,8,0,88,60,74,58,65,0,9,0.0,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0.0,29.44,30.09,5.8,16,7.4,29,5,2007
3,11,81,75,41.862292,-87.64886,8,0,88,60,74,58,65,0,9,0.0,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0.0,29.44,30.09,5.8,16,7.4,29,5,2007
3,17,112,77,41.720848,-87.666014,9,0,88,60,74,58,65,0,9,0.0,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0.0,29.44,30.09,5.8,16,7.4,29,5,2007
3,22,111,80,41.731922,-87.677512,8,0,88,60,74,58,65,0,9,0.0,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0.0,29.44,30.09,5.8,16,7.4,29,5,2007
1,22,111,80,41.731922,-87.677512,8,0,88,60,74,58,65,0,9,0.0,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0.0,29.44,30.09,5.8,16,7.4,29,5,2007
2,53,46,91,41.891126,-87.61156,5,0,88,60,74,58,65,0,9,0.0,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0.0,29.44,30.09,5.8,16,7.4,29,5,2007
3,53,46,91,41.891126,-87.61156,5,0,88,60,74,58,65,0,9,0.0,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0.0,29.44,30.09,5.8,16,7.4,29,5,2007
2,65,36,96,41.999129,-87.795585,8,0,88,60,74,58,65,0,9,0.0,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0.0,29.44,30.09,5.8,16,7.4,29,5,2007
2,75,37,101,42.01743,-87.687769,8,0,88,60,74,58,65,0,9,0.0,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0.0,29.44,30.09,5.8,16,7.4,29,5,2007
3,15,29,106,41.907645,-87.760886,8,0,88,60,74,58,65,0,9,0.0,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0.0,29.44,30.09,5.8,16,7.4,29,5,2007
3,89,57,112,41.732984,-87.649642,8,0,88,60,74,58,65,0,9,0.0,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0.0,29.44,30.09,5.8,16,7.4,29,5,2007
2,41,36,1,41.95469,-87.800991,9,0,64,47,56,48,51,9,0,0.42,29.1,29.79,5.2,5,7.6,63,51,57,47,52,8,0,0.27,29.16,29.78,6.2,3,8.1,5,6,2007
3,41,36,1,41.95469,-87.800991,9,0,64,47,56,48,51,9,0,0.42,29.1,29.79,5.2,5,7.6,63,51,57,47,52,8,0,0.27,29.16,29.78,6.2,3,8.1,5,6,2007
1,41,36,1,41.95469,-87.800991,9,0,64,47,56,48,51,9,0,0.42,29.1,29.79,5.2,5,7.6,63,51,57,47,52,8,0,0.27,29.16,29.78,6.2,3,8.1,5,6,2007
2,79,120,15,41.974089,-87.824812,8,0,64,47,56,48,51,9,0,0.42,29.1,29.79,5.2,5,7.6,63,51,57,47,52,8,0,0.27,29.16,29.78,6.2,3,8.1,5,6,2007
3,79,120,15,41.974089,-87.824812,8,0,64,47,56,48,51,9,0,0.42,29.1,29.79,5.2,5,7.6,63,51,57,47,52,8,0,0.27,29.16,29.78,6.2,3,8.1,5,6,2007
2,15,138,34,41.9216,-87.666455,8,0,64,47,56,48,51,9,0,0.42,29.1,29.79,5.2,5,7.6,63,51,57,47,52,8,0,0.27,29.16,29.78,6.2,3,8.1,5,6,2007
3,15,138,34,41.9216,-87.666455,8,0,64,47,56,48,51,9,0,0.42,29.1,29.79,5.2,5,7.6,63,51,57,47,52,8,0,0.27,29.16,29.78,6.2,3,8.1,5,6,2007
1,15,138,34,41.9216,-87.666455,8,0,64,47,56,48,51,9,0,0.42,29.1,29.79,5.2,5,7.6,63,51,57,47,52,8,0,0.27,29.16,29.78,6.2,3,8.1,5,6,2007
3,25,123,35,41.891118,-87.654491,8,0,64,47,56,48,51,9,0,0.42,29.1,29.79,5.2,5,7.6,63,51,57,47,52,8,0,0.27,29.16,29.78,6.2,3,8.1,5,6,2007
2,11,134,37,41.867108,-87.654224,8,0,64,47,56,48,51,9,0,0.42,29.1,29.79,5.2,5,7.6,63,51,57,47,52,8,0,0.27,29.16,29.78,6.2,3,8.1,5,6,2007
