Species,Block,Latitude,Longitude,WnvPresent,Heat_x,Cool_x,month,year,Tmin_x_bin_bin2,Tmin_x_bin_bin3,Tmin_x_bin_bin4,Tmin_x_bin_bin5,Tmin_x_bin_bin6,Tmin_x_bin_bin7,Tmin_x_bin_bin8,Tmin_x_bin_bin9,Tmin_x_bin_bin10,Tmin_x_bin_bin11,Tmin_x_bin_bin12,Tmin_x_bin_bin13,Tmin_x_bin_bin14,WetBulb_x_bin_bin2,WetBulb_x_bin_bin3,WetBulb_x_bin_bin4,WetBulb_x_bin_bin5,WetBulb_x_bin_bin6,WetBulb_x_bin_bin7,WetBulb_x_bin_bin8,WetBulb_x_bin_bin9,WetBulb_x_bin_bin10,WetBulb_x_bin_bin11,WetBulb_x_bin_bin12,WetBulb_x_bin_bin13,WetBulb_x_bin_bin14
2,41,41.95469,-87.800991,0,0,9,5,2007,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
3,41,41.95469,-87.800991,0,0,9,5,2007,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
3,62,41.994991,-87.769279,0,0,9,5,2007,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2,79,41.974089,-87.824812,0,0,9,5,2007,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
3,79,41.974089,-87.824812,0,0,9,5,2007,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
3,15,41.9216,-87.666455,0,0,9,5,2007,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
3,25,41.891118,-87.654491,0,0,9,5,2007,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2,11,41.867108,-87.654224,0,0,9,5,2007,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
3,11,41.867108,-87.654224,0,0,9,5,2007,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
3,11,41.896282,-87.655232,0,0,9,5,2007,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2,21,41.919343,-87.694259,0,0,9,5,2007,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2,22,41.921965,-87.632085,0,0,9,5,2007,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
3,22,41.921965,-87.632085,0,0,9,5,2007,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2,22,41.688324,-87.676709,0,0,9,5,2007,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
3,22,41.688324,-87.676709,0,0,9,5,2007,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
3,11,41.862292,-87.64886,0,0,9,5,2007,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
3,17,41.720848,-87.666014,0,0,9,5,2007,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
3,22,41.731922,-87.677512,0,0,9,5,2007,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1,22,41.731922,-87.677512,0,0,9,5,2007,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2,53,41.891126,-87.61156,0,0,9,5,2007,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
3,53,41.891126,-87.61156,0,0,9,5,2007,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2,65,41.999129,-87.795585,0,0,9,5,2007,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2,75,42.01743,-87.687769,0,0,9,5,2007,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
3,15,41.907645,-87.760886,0,0,9,5,2007,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
3,89,41.732984,-87.649642,0,0,9,5,2007,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2,41,41.95469,-87.800991,0,9,0,6,2007,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
3,41,41.95469,-87.800991,0,9,0,6,2007,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
